Timestamp,Dónde estás trabajando,Dedicación,Contrato Plazo Fijo,Último salario mensual  o retiro BRUTO (en tu moneda CLP),Último salario mensual o retiro NETO (en tu moneda CLP),Pagos,Si tu sueldo está dolarizado ¿Cuál fue el último valor del dólar que tomaron?,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste actualizaciones de tus ingresos laborales durante 2023?,Que Porcentaje de ipc % te reajustaron,¿En qué mes fue el último ajuste?,Cómo considerás que están tus ingresos laborales comparados con el semestre anterior,¿Contás con beneficios adicionales?,¿Qué tan conforme estás con tus ingresos laborales?,¿Estás buscando trabajo?,Trabajo de,Años de experiencia,Antigüedad en la empresa actual,Tiempo en el puesto actual,¿Cuántas personas a cargo tienes?,Plataformas que utilizas en tu puesto actual,Lenguajes de programación o tecnologías que utilices en tu puesto actual,"Frameworks, herramientas y librerías que utilices en tu puesto actual",Bases de datos,QA / Testing,Cantidad de personas en tu organización,Modalidad de trabajo,Si trabajas bajo un esquema híbrido ¿Cuántos días a la semana vas a la oficina?,¿La recomendás como un buen lugar para trabajar?,"¿Qué tanto estás usando Copilot, ChatGPT u otras herramientas de IA para tu trabajo?",¿Salir o seguir contestando?,Máximo nivel de estudios,Estado,Carrera,Institución educativa,¿Salir o seguir contestando sobre las guardias?,¿Tienes turnos?,Cuánto cobrás por los turnos,Aclara el número que ingresaste en el campo anterior,¿Salir o seguir contestando sobre estudios?,Tengo (edad),Me identifico (género),¿Cuáles considerás que son las mejores empresas de IT para trabajar en este momento en tu ciudad?
11/22/2023 9:22:39,,Full-Time,Contrato Indefinido,2560836,2396391,Cobro todo el salario en pesos,,No,No recibo bono,Uno,7,Febrero,2,Horarios flexibles,2,"No, pero escucho ofertas.",Scrum Master,2,6,2,19,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Angular, Bootstrap","MySQL, PostgreSQL",Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,10,5,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Universidad de Chile,Responder sobre guardias,No,0,Bruto,Terminar encuesta,36,Mujer Cis,Global
11/22/2023 9:24:19,,Full-Time,Contrato Indefinido,2966975,2380682,Cobro todo el salario en pesos,,Menos de un sueldo,Bono por soporte para continuidad operacional de la empresa 24/7 2 veces al mes,Uno,13,Enero,2,"Abono de Internet, Horarios flexibles",1,"No, pero escucho ofertas.",Architect,7,4,0,0,"Docker, Linux","CSS, HTML, Java, Javascript, Python, SQL, TypeScript","Angular, Bootstrap, Hibernate, jQuery, Spring","MariaDB, MySQL, PostgreSQL","Katalon, Postman, SoapUI",De 51 a 100 personas,100% remoto,0,7,1,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Otra,Responder sobre guardias,"Sí, activa",200000,Neto,Terminar encuesta,29,Varón Cis,
11/22/2023 9:33:20,,Full-Time,Contrato Indefinido,3000000,2300000,Cobro todo el salario en pesos,,Menos de un sueldo,Performance individual,Uno,0,Diciembre,2,"Abono de Internet, Horarios flexibles",2,"No, pero escucho ofertas.",Technical Leader,5,2,1,2,"Amazon Web Services, Docker, Linux, Serverless","Bash/Shell, Python, SQL","Streamlit, Fastapi","PostgreSQL, Amazon Timestream, Amazon Athena, Clickhouse ",Postman,De 2 a 10 personas,100% remoto,0,7,5,Responder sobre mis estudios,Posgrado/Especialización,Completo,Ingeniero Civil Quimico,Universidad de Santiago,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,29,Mujer Cis,
11/22/2023 9:53:23,,,,,,,,,,,,,,,,,Sales / Pre-Sales,10,0,0,0,Salesforce,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,De 51 a 100 personas,Híbrido (presencial y remoto),1,9,0,Responder sobre mis estudios,Maestría,Completo,Ingeniería en Administración de Empresas,Universidad Mayor,Terminar encuesta,No,0,Neto,Responder sobre mis estudios,44,Mujer Cis,Globant
11/22/2023 10:37:15,Región Metropolitana,Full-Time,Contrato Indefinido,1600000,1200000,Cobro todo el salario en pesos,,De uno a tres sueldos,Performance individual,No,0,No tuve,4,Vacaciones flexibles (adicionales a las reglamentarias),4,"No, estoy muy conforme.",Developer,1,0,0,0,Ninguna de las anteriores,"HTML, Javascript","Bootstrap, Next.js, Node.js, React.js",Ninguna de las anteriores,Ninguna de las anteriores,De 2 a 10 personas,100% remoto,1,10,5,Terminar encuesta,,,,,,,,,,31,Varón Cis,
11/22/2023 11:12:05,Región Metropolitana,Full-Time,Contrato Indefinido,2500000,2000000,Cobro todo el salario en pesos,,Menos de un sueldo,Mix de las anteriores,Uno,3,Agosto,3,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Sueldo dividido en dos pagos por mes",4,"Sí, estoy buscando activamente.",Business Analyst,9,8,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript, PHP, Python, SQL, VBA","Bootstrap, jQuery",Microsoft SQL Server,Ninguna de las anteriores,De 501 a 1000 personas,Híbrido (presencial y remoto),1,7,1,Terminar encuesta,,,,,,,,,,36,Varón Cis,No lo sé
11/22/2023 11:35:21,Región Metropolitana,Full-Time,Contrato Indefinido,2360000,1900000,Cobro todo el salario en pesos,,De uno a tres sueldos,Performance de la compañía,Uno,10,Febrero,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles",3,"No, pero escucho ofertas.",Developer,5,1,1,0,Docker,"CSS, HTML, Javascript, SQL, TypeScript","Angular, Cordova, Node.js","MongoDB, MySQL, Redis","Jest, Mocha, Postman, SoapUI",De 1001 a 2000 personas,100% remoto,0,8,1,Terminar encuesta,,,,,,,,,,34,Mujer Cis,Globant
11/22/2023 11:40:33,Región Metropolitana,Full-Time,Contrato Indefinido,600000,600000,Cobro todo el salario en pesos,no,No,No recibo bono,No,0,No tuve,2,"Abono de celular, Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",2,"Sí, estoy buscando activamente.",UX Designer,0,2,2,0,"IBM Cloud / Watson, Windows Server","CSS, HTML, Javascript, Python, SQL, TypeScript","Bootstrap, Django, jQuery, Node.js","IBM Db2, Microsoft SQL Server, MongoDB, MySQL, SQLite",Visual Studio Coded UI,Más de 10000 personas,Híbrido (presencial y remoto),3,10,2,Responder sobre mis estudios,Universitario,Completo,Analista Programador,IACC,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,30,Varón Cis,
11/22/2023 11:43:14,Región Metropolitana,Full-Time,Contrato Indefinido,3900000,3200000,,,Un sueldo,Performance individual,Uno,100,Marzo,3,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Licencia por nacimiento extendida, Guardería o pago para cubrir costo de guardería",3,"No, pero escucho ofertas.",Developer,5,1,3,0,"Amazon Web Services, Docker, Firebase, Google Cloud Platform, Microcontroladores","CSS, HTML, Javascript, SQL","Node.js, React.js","Amazon DynamoDB, MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Jest,Más de 10000 personas,100% remoto,0,8,2,Terminar encuesta,,,,,,,,,,39,Varón Cis,"MELI, AMAZON, STRIPE"
11/22/2023 12:34:45,Región Metropolitana,Full-Time,Contrato Indefinido,2969267,2480000,Cobro todo el salario en pesos,,De uno a tres sueldos,Mix de las anteriores,Dos,3,Julio,3,"Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",3,"No, pero escucho ofertas.",Product Owner,6,1.5,1.5,0,"Google Cloud Platform, Jira; MS Office; Looker; Tableau; Powerbi",SQL,Ninguno de los anteriores,"Google Cloud Storage, MySQL, PostgreSQL, google bigquery",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,6,4,Responder sobre mis estudios,Universitario,Completo,Ingeniería Civil Industrial,Otra,Terminar encuesta,,,,,34,Varón Cis,
11/22/2023 13:22:09,Región de Los Lagos,Full-Time,Contrato Indefinido,1800000,1800000,Cobro todo el salario en pesos,,Un sueldo,Performance de la compañía,Más de tres,0,Noviembre,4,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Crédito en billeteras virtuales (Mercado Pago, Rappi), Descuentos varios (El mercurio, La Tercera , otro), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Business Analyst,10,4,2,1,"Azure, Firebase, Google Cloud Platform, Google Analytics","PHP, Python",WordPress,MySQL,Ninguna de las anteriores,De 2001a 5000 personas,100% remoto,0,10,5,Terminar encuesta,,,,,,,,,,40,Varón Cis,SONDA
11/22/2023 14:08:39,Región Metropolitana,Full-Time,Contrato Indefinido,2150000,1725000,Cobro todo el salario en pesos,,Menos de un sueldo,Performance individual y de la compañía,No,0,No tuve,2,Horarios flexibles,2,"No, pero escucho ofertas.",Developer,4,3,3,0,Ninguna de las anteriores,"HTML, Javascript, TypeScript","Bootstrap, React.js",Ninguna de las anteriores,Ninguna de las anteriores,De 11  a 50  personas,100% remoto,0,7,4,Responder sobre mis estudios,Universitario,Completo,Medicina,Otra,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,33,Mujer Cis,"Globant, Thoughtworks, Softserve, Perficient, Latam Airlines"
11/22/2023 14:45:21,Región Metropolitana,Full-Time,Contrato Indefinido,3850000,3200000,Cobro todo el salario en pesos,,Un sueldo,Performance grupal,No,0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles",4,"No, pero escucho ofertas.",Developer,14,0,0,0,"Amazon Web Services, Docker, Google Cloud Platform, Serverless",Java,"Spring, Javalin","MySQL, Redis",JUnit,De 2001a 5000 personas,100% remoto,0,10,5,Responder sobre mis estudios,Universitario,Completo,Ingeniería en Informática,Otra,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,41,Varón Cis,
11/22/2023 15:28:47,Región de Valparaíso,Full-Time,Contrato Indefinido,5442822,4313657,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,4,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",Developer,7,0,0,0,"Docker, Kubernetes","Javascript, Python",Node.js,Couchbase,"Jest, Postman",De 51 a 100 personas,100% remoto,0,0,3,Responder sobre mis estudios,Universitario,Completo,Analista Programador,Instituto Profesional INACAP,Responder sobre guardias,No,0,Porcentaje de mi sueldo bruto,Terminar encuesta,35,Varón Cis,
11/22/2023 15:52:26,Región del Biobío,Full-Time,Contrato Indefinido,3837305,3114194,Cobro todo el salario en pesos,,No,No recibo bono,Dos,3,Julio,4,"Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia por nacimiento extendida, Vacaciones flexibles (adicionales a las reglamentarias)",4,"No, pero escucho ofertas.",DevOps Engineer,3,1,1,0,"Docker, Google Cloud Platform, Kubernetes, Linux","Bash/Shell, Python",Ninguno de los anteriores,"MariaDB, PostgreSQL",Ninguna de las anteriores,Más de 10000 personas,100% remoto,0,8,4,Responder sobre guardias,,,,,,"Sí, pasiva",100000,Bruto,Terminar encuesta,35,Varón Cis,
11/22/2023 16:22:48,Región Metropolitana,Full-Time,Contrato Indefinido,2850000,2250000,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,"Abono de celular, Abono de Internet",3,"No, pero escucho ofertas.",Jefe de Area QA,12,0,0,0,"Azure, Windows Server",Javascript,Ninguno de los anteriores,Ninguna de las anteriores,"Cypress, Postman, Selenium, SoapUI",De 1001 a 2000 personas,100% remoto,0,0,0,Responder sobre mis estudios,Universitario,En curso,Ingeniería en Computación,Universidad Andrés Bello,Terminar encuesta,,,,,35,Varón Cis,
11/22/2023 16:48:12,Región Metropolitana,Full-Time,Contrato Indefinido,3200000,3200000,Cobro todo el salario en pesos,,No,No recibo bono,Uno,0,Enero,4,Ninguna de las anteriores,4,"No, pero escucho ofertas.",SRE (Site Reliability Engineer),12,2,1,1,"Amazon Web Services, Linux, Windows Server, Ovh",Ninguno de los anteriores,WordPress,"ElasticSearch, MariaDB, MySQL",Postman,De 11  a 50  personas,100% remoto,0,10,0,Responder sobre mis estudios,Posgrado/Especialización,Completo,Tecnicatura en Informática,Universidad de Santiago,Terminar encuesta,,,,,39,Varón Cis,
11/22/2023 16:48:48,Región Metropolitana,Full-Time,Contrato Indefinido,3864289,3140168,Cobro todo el salario en pesos,,No,No recibo bono,No,0,No tuve,3,Horarios flexibles,2,"No, pero escucho ofertas.",Developer,5,1,1,0,"Amazon Web Services, Kubernetes","Javascript, SQL, TypeScript","Next.js, React.js","ElasticSearch, MongoDB, PostgreSQL, Redis","Cypress, Jest",De 501 a 1000 personas,100% remoto,0,6,5,Terminar encuesta,,,,,,,,,,38,Varón Cis,Mercado Libre
11/22/2023 16:57:44,Región Metropolitana,Full-Time,Contrato Indefinido,1618000,1481000,Cobro todo el salario en pesos,,Menos de un sueldo,No recibo bono,Dos,4,Junio,2,"Descuentos varios (El mercurio, La Tercera , otro), Seguro médico ",2,"Sí, estoy buscando activamente.",QA / Tester,2,2,2,0,Linux,"Java, VBA",Ninguno de los anteriores,Ninguna de las anteriores,"Appium, Cucumber, JUnit, Selenium",De 51 a 100 personas,Híbrido (presencial y remoto),1,6,0,Responder sobre guardias,Universitario,Completo,Ingeniero Civil Electronico,Universidad Técnica Federico Santa María.,Terminar encuesta,No,0,Neto,Responder sobre mis estudios,31,Varón Cis,
